Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037602511,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,9.47421638,,,N/A,,0
6037602512,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.519716886,,,N/A,,0
6037602513,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,9.039433771,,,N/A,,0
6037602600,8.421381682,,8,,4.919491949,,5.872157098,,2.257,,8.214107054,,2.555,,N/A,,2,1.428571429,,0
6037602601,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,8.493427705,,,N/A,,0
6037602602,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,9.332659252,,,N/A,,0
6037602700,8.614150255,,8.33,,3.690369037,,3.161005911,,6.563,,5.783891946,,0.026,,8.523761375,,1,0,,4.385221092
6037602801,8.568302595,,6.96,,8.418841884,,9.04718966,,7.538,,9.732866433,,8.067,,9.575328615,,2,1.428571429,,7.439502311
6037602802,8.730853392,,7.32,,5.673567357,,1.923654944,,9.155,,6.649324662,,1.811,,9.423660263,,2,1.428571429,,5.3160318
6037602900,8.667291862,,8.92,,8.876887689,,8.321811442,,6.342,,7.450725363,,8.384,,8.665318504,,2,1.428571429,,6.838073947
6037603001,8.508909034,,7.47,,6.682668267,,6.755836089,,3.358,,7.871935968,,7.226,,N/A,,2,1.428571429,,0
6037603004,8.317182453,,5.46,,5.850585059,,6.38513175,,3.088,,4.59929965,,7.445,,7.189079879,,1,0,,4.649583499
6037603005,8.357820152,,6.88,,6.091609161,,7.192666066,,3.227,,7.509754877,,6.745,,8.09908999,,2,1.428571429,,5.630815681
